Model,MSE,RMSE,MAE,R2
Linear Regression,0.5558915986952444,0.7455813830127764,0.5332001304956565,0.5757877060324508
Ridge Regression,0.5558548589435969,0.7455567442814778,0.5331931195789733,0.5758157428913686
Lasso Regression,0.5544913600832686,0.7446417662764214,0.5331447750392391,0.5768562568705682
